broker_name,ap_code,exchange_name,reference_link,status,notes
AETRAM TRADES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AFCO INVESTMENTS SERVICES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AFFLUENCE SHARES AND STOCKS PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AFTERTRADE BROKING PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AGROY FINANCE & INVESTMENT LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AIKYAM CAPITAL PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AIONION CAPITAL MARKET SERVICES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AIRAN FINSTOCKS PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AJAY GOENKA,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AJAY GUPTA,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AJAY ISHWARLAL DALAL,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AJAY RASIKLAL VORA,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AJCON GLOBAL SERVICES LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AJIT CHHOTALAL PAREKH,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AJMERA ASSOCIATES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AJNEE FINANCE PVT LTD,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AKBAR A. POONAWALA,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AKD SECURITIES PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ALACRITY SECURITIES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ALANKIT IMAGINATIONS LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ALDAN INVESTMENTS PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ALGOQUANT GLOBAL SECURITIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ALICE BLUE FINANCIAL SERVICES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ALLWIN SECURITIES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ALPHAGREP SECURITIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ALTIUS FINCAP MARKETS LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMAR ALLIANCE SECURITIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMAZON STOCK SERVICES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMBIT BROKING SERVICES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMBIT CAPITAL PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMIT JASANI FINANCIAL SERVICES PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMIT NALIN SECURITIES PVT.LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMIT SAHITA FINANCE PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMIY YOGESH RUNGTA,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMODINI SECURITIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMRAPALI CAPITAL & FINANCE SER LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMTIGER CONSULTANTS PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AMU SHARES & SECURITIES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANAND JHAVERI FINCON PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANAND R. LADSARIYA SHARES & STOCK BROKERS P LTD,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANAND RATHI SHARE AND STOCK BROKERS LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANEMONE ENTERPRISES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANGEL ONE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANGEL SECURITIES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANIL R PARIKH,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANJANEY STOCK BROKING LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANMOL SHARE BROKING LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANS PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANTIQUE STOCK BROKING LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANUSH SHARES & SECURITIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ANW ALPHA LLP,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
APAAR FINANCE & INVESTMENT LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
APARNA SHARES & STOCK BROKERS P.LTD,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
APARNA SHARES AND STOCKBROKERS LLP,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
APEEJAY SECURITIES PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
APEX FINGROW PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARANIK SECURITIES PVT LTD,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARCH FINANCE LTD,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARETE SECURITIES LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARHAM SHARE PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARIDHI HOLDINGS PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARISTRO CAPITAL MARKETS LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARJ SECURITIES PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARJ SHARES & STOCK BROKERS PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARTHA VRDDHI SECURITIES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARUN PORECHA,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARYA FIN-TRADE SERVICES (INDIA) PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ARYAMAN CAPITAL MARKETS LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AS BULLISHIFY PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASCENT SHARES AND STOCK BROKERS PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
